key,en,ru
AN_33,Fear of being left behind or missing out on an opportunity,Страх остаться позади или упустить возможность
AN_34,Finding a safe route to your destination,Поиск безопасного пути к цели
AN_35,Finding ways to utilize the space for your own benefit,Поиск способов использовать пространство с пользой для себя
AN_36,Fostering a sense of mutual respect and admiration,Укрепление чувства взаимного уважения и восхищения
AN_37,I crave stability and routine,Я жажду стабильности и рутины
AN_38,I let my emotions run wild and take action instinctively,Я даю волю своим эмоциям и действую инстинктивно
AN_39,I seek guidance from others and follow their lead,Я ищу руководства у других и следую их примеру
AN_40,I tend to retreat and observe from a safe distance,Я склонен отступать и наблюдать с безопасного расстояния
AN_41,I try to stay calm and think clearly,Я стараюсь сохранять спокойствие и ясно мыслить
AN_42,Logic and rational thinking,Логика и рациональное мышление
AN_44,Manipulate the situation to achieve your goals,Манипулировать ситуацией для достижения своих целей
AN_45,Manipulating others to get what I want,"Манипулирую другими, чтобы получить желаемое"
AN_46,"Neither, I prefer to avoid change altogether","Ни то, ни другое, я предпочитаю вообще избегать перемен"
AN_48,Observe and listen before speaking up,"Наблюдать и слушать, прежде чем высказаться"
AN_51,Potential traps or hidden dangers,Потенциальные ловушки или скрытые опасности
AN_52,Seeking out local guides or allies,Искать местных проводников или союзников
AN_53,Sharing secrets and fostering a sense of belonging,Делиться секретами и укреплять чувство сопричастности
AN_55,Take charge and lead the group,Взять на себя ответственность и возглавить группу
AN_58,The desire to uncover the truth behind a legend,"Желание раскрыть правду, скрывающуюся за легендой"
AN_59,The discovery of hidden secrets,Открытие скрытых секретов
AN_62,The potential for hidden treasures or secrets,Возможность найти спрятанные сокровища или секреты
AN_65,The thrill of facing unknown dangers and overcoming them,Острые ощущения от столкновения с неизвестными опасностями и их преодоления
AN_66,The thrill of potential danger,Трепет от потенциальной опасности
AN_67,The thrill of uncertainty and adventure calls to me,Острые ощущения от неопределенности и приключений
AN_68,The thrill of uncertainty and the possibility of gaining something new,Трепет неопределенности и возможность получить что-то новое
AN_69,Understanding the history and culture behind the place,Понимание истории и культуры этого места
AN_70,Using magical or technological means to get a clear view of the area,Использование магических или технологических средств для получения четкого представления о местности
AN_74,With determination to overcome it,С решимостью преодолеть его
AN_76,You believe in finding ways to subvert or undermine the oppressive system from within,"Вы верите в то, что сможете найти способы подорвать или разрушить угнетающую систему изнутри."
AN_78,You feel compelled to stand up and fight against the oppressors with physical force,"Вы чувствуете, что вынуждены встать и бороться с угнетателями с помощью физической силы"
AN_80,You prefer to maintain a safe distance and focus on protecting yourself and those you care about,"Вы предпочитаете держаться на безопасном расстоянии и сосредоточиться на защите себя и тех, кто вам дорог"
AN_82,You want to use your words to rally others and advocate for change,"Вы хотите использовать свои слова, чтобы сплотить других и выступить за перемены."
AN_83,Your instincts and intuition,Ваши инстинкты и интуиция
